hpf,lpf,harmonics,window_s,ema_alpha,accuracy,L_accuracy,R_accuracy,n_trials,lat_first_p50_ms,lat_first_p95_ms,lat_sus_p50_ms,lat_sus_p95_ms,lat_sus_n
25.0,45.0,10,0.5,0.9,0.5,1.0,0.0,40,61.99991703033447,2237.9998564720154,54.000020027160645,3132.8000187873818,24
8.0,60.0,1,1.5,0.9,0.625,1.0,0.25,40,202.00002193450928,6136.050045490264,216.00008010864258,5215.999984741207,29
8.0,90.0,7,0.5,0.9,0.5,1.0,0.0,40,52.00004577636719,4214.200067520137,52.00004577636719,4214.200067520137,23
8.0,30.0,7,4.0,0.7,0.625,1.0,0.25,40,676.0001182556152,5051.600050926208,608.5000038146973,4482.800018787383,28
8.0,80.0,3,4.0,0.5,0.675,1.0,0.35,40,718.500018119812,4631.850063800812,716.0000801086426,4672.800064086913,29
12.0,45.0,1,1.0,0.7,0.5,0.0,1.0,40,172.5001335144043,4086.199951171874,172.5001335144043,3867.9999113082886,26
25.0,90.0,5,0.5,0.9,0.55,0.85,0.25,40,84.0001106262207,3704.599928855892,84.0001106262207,2294.599997997284,32
12.0,90.0,3,2.5,0.5,0.775,0.65,0.9,40,496.0000514984131,2817.4000740051274,840.0001525878906,3811.8000268936144,35
8.0,30.0,5,2.5,0.0,0.7,1.0,0.4,40,514.0000581741333,3181.0001015663147,452.0001411437988,3178.499937057495,31
12.0,90.0,1,0.5,0.0,0.5,0.0,1.0,40,180.00006675720215,3081.800031661986,83.99999141693115,4051.7999529838517,24
16.0,80.0,1,4.0,0.7,0.5,0.0,1.0,40,445.99997997283936,781.7501306533813,445.99997997283936,781.7501306533813,20
12.0,45.0,5,1.5,0.3,0.925,0.9,0.95,40,269.9999809265137,1431.7501306533811,631.9999694824219,3445.0000524520856,40
12.0,60.0,7,1.5,0.3,0.875,0.75,1.0,40,283.9999198913574,1431.9501280784605,977.9999256134033,3847.20013141632,40
8.0,30.0,7,1.0,0.7,0.625,1.0,0.25,40,191.9999122619629,4079.99995946884,174.00002479553223,3943.550133705138,34
25.0,45.0,1,0.5,0.3,0.525,0.2,0.85,40,149.9999761581421,1302.5999546051023,480.4999828338623,4173.250114917755,38
3.0,45.0,10,2.5,0.7,0.7,1.0,0.4,40,466.0000801086426,3768.249988555908,420.0000762939453,3564.550042152405,32
8.0,60.0,10,2.5,0.5,0.7,1.0,0.4,40,514.0000581741333,3724.999964237213,452.0001411437988,3282.5000286102295,31
16.0,30.0,7,4.0,0.5,0.725,1.0,0.45,40,720.9999561309814,3709.000062942501,730.4999828338623,3859.0000629425026,34
16.0,30.0,7,4.0,0.0,0.8,1.0,0.6,40,720.9999561309814,3556.200051307679,906.000018119812,3674.2000222206107,34
25.0,60.0,10,0.5,0.7,0.6,0.95,0.25,40,85.99996566772461,1602.1998763084403,279.9999713897705,3315.0000810623173,39
12.0,90.0,5,2.5,0.7,0.775,0.8,0.75,40,481.9999933242798,3236.200141906738,760.4999542236328,3814.999997615814,36
8.0,60.0,10,0.5,0.7,0.5,1.0,0.0,40,283.9999198913574,3839.8000240325932,95.99995613098145,2981.000089645384,33
8.0,60.0,7,1.0,0.5,0.55,1.0,0.1,40,195.9998607635498,4754.700040817263,315.99998474121094,4122.000169754019,37
25.0,90.0,3,2.5,0.0,0.575,0.25,0.9,40,674.5001077651978,2558.6499929428096,1402.500033378601,5091.800117492675,28
