hpf,lpf,harmonics,window_s,ema_alpha,accuracy,L_accuracy,R_accuracy,n_trials,lat_first_p50_ms,lat_first_p95_ms,lat_sus_p50_ms,lat_sus_p95_ms,lat_sus_n
3.0,25.0,1,1.5,0.0,0.8,1.0,0.6,40,226.0000705718994,1706.3501477241493,1184.000015258789,2913.8999462127726,39
3.0,25.0,1,1.5,0.1,0.775,1.0,0.55,40,226.0000705718994,2313.4000897407527,1167.9999828338623,2913.8999462127726,39
3.0,25.0,1,1.5,0.2,0.775,1.0,0.55,40,283.9999198913574,2002.900099754334,1152.9998779296875,2913.8999462127726,39
3.0,25.0,1,1.5,0.3,0.775,1.0,0.55,40,283.9999198913574,2002.900099754334,1106.9998741149902,3056.3499450683553,38
3.0,25.0,1,1.5,0.4,0.775,1.0,0.55,40,283.9999198913574,2056.900048255921,983.9999675750732,2625.0000715255783,39
3.0,25.0,1,1.5,0.5,0.775,1.0,0.55,40,283.9999198913574,2272.9000568389893,983.9999675750732,2625.0000715255783,39
3.0,25.0,1,1.5,0.6,0.775,1.0,0.55,40,283.9999198913574,2272.9000568389893,983.9999675750732,2943.8999652862594,39
3.0,25.0,1,1.5,0.7,0.775,1.0,0.55,40,256.0000419616699,2610.100030899048,1167.9999828338623,3591.899991035465,39
3.0,25.0,1,1.5,0.8,0.8,1.0,0.6,40,245.99993228912354,3713.3499979972803,255.99980354309082,3689.99996185302,37
3.0,25.0,1,1.5,0.9,0.725,1.0,0.45,40,255.99980354309082,3716.2001132965042,236.00006103515625,4742.899918556211,35
